precision,recall,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,mean_similarity_positive,mean_similarity_negative,similarity_separation,threshold,algorithm_name
0.5040705734089477,0.99995,0.6702639296187684,0.508075,19999,19676,1,324,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.1,Jaccard Similarity
0.5091215268032557,0.9977,0.6742013413748248,0.517875,19954,19239,46,761,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.15000000000000002,Jaccard Similarity
0.5463140586462044,0.99675,0.7057886351566648,0.5845,19935,16555,65,3445,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.20000000000000004,Jaccard Similarity
0.5841144986249519,0.98765,0.734080309195979,0.642225,19753,14064,247,5936,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.25000000000000006,Jaccard Similarity
0.6384483150076222,0.9842,0.7744880092856721,0.713425,19684,11147,316,8853,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.30000000000000004,Jaccard Similarity
0.6818294452900988,0.96305,0.798399966838691,0.756825,19261,8988,739,11012,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.3500000000000001,Jaccard Similarity
0.7399296050058662,0.946,0.8303708580206276,0.80675,18920,6650,1080,13350,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.40000000000000013,Jaccard Similarity
0.7689637656620386,0.9083,0.8328443058866679,0.8177,18166,5458,1834,14542,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.45000000000000007,Jaccard Similarity
0.8090487897125568,0.85565,0.8316971228615864,0.82685,17113,4039,2887,15961,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.5000000000000001,Jaccard Similarity
0.8155706365895622,0.85325,0.8339849477079463,0.83015,17065,3859,2935,16141,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.5500000000000002,Jaccard Similarity
0.842146232971921,0.7573,0.7974726865868106,0.807675,15146,2839,4854,17161,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.6000000000000002,Jaccard Similarity
0.8587312734082397,0.7337,0.791307161345988,0.8065,14674,2414,5326,17586,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.6500000000000001,Jaccard Similarity
0.8641187437257996,0.60255,0.710010015907618,0.7539,12051,1895,7949,18105,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.7000000000000002,Jaccard Similarity
0.8417174796747967,0.3313,0.475459242250287,0.6345,6626,1246,13374,18754,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.7500000000000002,Jaccard Similarity
0.8279878158036195,0.23105,0.3612837652945545,0.591525,4621,960,15379,19040,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.8000000000000002,Jaccard Similarity
0.8044542339696524,0.16435,0.272938636552354,0.5622,3287,799,16713,19201,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.8500000000000002,Jaccard Similarity
0.827029752899647,0.082,0.14920620479461405,0.532425,1640,343,18360,19657,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.9000000000000002,Jaccard Similarity
0.8309572301425662,0.0816,0.14860681114551086,0.5325,1632,332,18368,19668,0.7050654827117326,0.38333120306529556,0.3217342796464371,0.9500000000000003,Jaccard Similarity
